row_index,url,column,raw_value,issue_type,message,value_used,requires_manual_review
93,https://www.portalinmobiliario.com/MLC-1810034215-departamento-arriendo-de-1-dorm-las-condes-increible-ubicac-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_62...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
94,https://www.portalinmobiliario.com/MLC-1801142261-depto-en-arriendo-en-las-condesmetro-hernando-de-magallanes-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_64...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
95,https://www.portalinmobiliario.com/MLC-3489443808-departamento-en-arriendo-de-2-dorm-en-nunoa-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_91...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
96,https://www.portalinmobiliario.com/MLC-3441928428-departamento-en-arriendo-de-1-dorm-en-nunoa-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_90...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
97,https://www.portalinmobiliario.com/MLC-3423266286-departamento-en-arriendo-de-2-dorm-en-vitacura-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_94...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
98,https://www.portalinmobiliario.com/MLC-1766562781-excelente-oportunidad-oficina-de-232m2-sector-el-golf-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_Q_NP_785...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
99,https://www.portalinmobiliario.com/MLC-3391708180-oficina-en-arriendo-en-vitacura-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_2X...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
100,https://www.portalinmobiliario.com/MLC-1777318981-oficina-en-arriendo-en-vitacura-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_2X...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
101,https://www.portalinmobiliario.com/MLC-1560220407-casa-en-venta-de-4-dorm-en-colina-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_92...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
102,https://www.portalinmobiliario.com/MLC-3482259688-casa-remodelada-cercana-al-centro-de-santiago-y-autopistas-_JM,IMAGES," Cercana Al Centro De Santiago Y Autopistas"""",{""""""""n_img"""""""": 5, """"""""images""""...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
103,https://www.portalinmobiliario.com/MLC-3479999420-amplio-terreno-con-casa-para-remodelar-133097-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_98...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
104,https://www.portalinmobiliario.com/MLC-3250868996-casa-en-venta-en-la-reina-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_2X...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
105,https://www.portalinmobiliario.com/MLC-3479947588-oportunidad-venta-parcela-hermosa-7d-5b-94464-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_78...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
106,https://www.portalinmobiliario.com/MLC-3339666606-casa-en-venta-en-lujan-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_61...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
107,https://www.portalinmobiliario.com/MLC-3441044252-casa-en-venta-de-3-dorm-en-las-condes-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_69...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
108,https://www.portalinmobiliario.com/MLC-1769043033-maravillosa-casa-en-pasaje-abierto-3d-servicioescritorio-_JM,LATITUD/LONGITUD,"(3e-05, 3e-05)",coordinates_invalid,No convertible a número (original: '3e-05'),"(0.0, 0.0)",True
108,https://www.portalinmobiliario.com/MLC-1769043033-maravillosa-casa-en-pasaje-abierto-3d-servicioescritorio-_JM,IMAGES,"{""""""""n_img"""""""": 0, """"""""images"""""""": []}""""",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
109,https://www.portalinmobiliario.com/MLC-1748940053-hermosa-e-impecablecasa-en-venta-de-4-dorm-las-condes-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_91...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
110,https://www.portalinmobiliario.com/MLC-1688496595-casa-familiar-piscina-barrio-los-dominicos-antiguo-_JM,LATITUD/LONGITUD,"(3e-05, 3e-05)",coordinates_invalid,No convertible a número (original: '3e-05'),"(0.0, 0.0)",True
110,https://www.portalinmobiliario.com/MLC-1688496595-casa-familiar-piscina-barrio-los-dominicos-antiguo-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_2X...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
111,https://www.portalinmobiliario.com/MLC-3423861872-pie-andino-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_83...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
112,https://www.portalinmobiliario.com/MLC-3402389656-casa-en-venta-en-lo-barnechea-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_99...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
113,https://www.portalinmobiliario.com/MLC-1757327465-casa-en-venta-de-4-dorm-en-nunoa-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_71...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
114,https://www.portalinmobiliario.com/MLC-3439749078-casa-de-3-dormitorios-barrio-plaza-uruguay-providencia-_JM,IMAGES," Providencia"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
115,https://www.portalinmobiliario.com/MLC-3365180808-casa-en-venta-e-diego-de-almagro-excelente-ubcacion--_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_79...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
116,https://www.portalinmobiliario.com/MLC-1810083569-casa-en-venta-de-4-dorm-en-providencia-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_84...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
117,https://www.portalinmobiliario.com/MLC-3378129160-impecable-casa-nueva-en-exclusivo-condominio-pol-_JM,IMAGES," Pol..."""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
118,https://www.portalinmobiliario.com/MLC-1806545589-casa-en-venta-en-vitacura-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_81...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
119,https://www.portalinmobiliario.com/MLC-3370768646-casa-en-estoril-increible-jardin-con-piscina-4d-2b-_JM,IMAGES," Increíble Jardín Con Piscina 4d-2b"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
120,https://www.portalinmobiliario.com/MLC-1809748373-casa-en-venta-en-vitacura-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_65...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
121,https://www.portalinmobiliario.com/MLC-1736860619-casa-en-venta-de-4-dorm-en-vitacura-sector-colegio-aleman-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_79...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
